numrooms,squaremeters,numberoffloors,floor,price,district,street,builtyear,ceilinghight,isnewbuilding,seller,bathroomtype,residentialcomplex,repaired,city
1,42.2,12.0,10.0,23000000,сарыаркинский,,2024,3.0,False,крыша агент,совмещенный,sharyn 2,требует ремонта,Астана
4,120.0,10.0,9.0,105000000,есильский,,2023,3.0,False,крыша агент,,greenline.asyl mura,,Астана
1,43.0,12.0,12.0,24490000,есильский,,2023,3.0,False,хозяин недвижимости,совмещенный,gamma,,Астана
5,186.0,,,111600000,нуринский,,2024,3.0,True,новостройка,2 с/у и более,rauda,,Астана
2,48.6,,,23814000,нуринский,,2025,3.0,True,новостройка,совмещенный,greenline.astra,,Астана
4,230.0,9.0,9.0,85000000,есильский,,2011,3.2,False,крыша агент,2 с/у и более,caspian palace,,Астана
1,40.0,8.0,6.0,22500000,есильский,,2023,3.0,False,крыша агент,совмещенный,besterek,,Астана
3,84.7,12.0,5.0,50000000,есильский,,2021,3.0,False,крыша агент,2 с/у и более,sat city,качественный ремонт,Астана
3,86.73,,,33824700,алматинский,,2025,3.0,True,новостройка,2 с/у и более,dauletti qalashyq,,Астана
4,167.75,,,152652500,есильский,,2024,3.0,True,новостройка,2 с/у и более,dara residence,,Астана
1,43.0,12.0,10.0,20990000,есильский,,2024,,False,специалист,,zaman,черновая отделка,Астана
2,53.0,9.0,6.0,26000000,байконурский,,2024,3.0,False,крыша агент,,центральный сквер,черновая отделка,Астана
1,36.03,,,14952450,нуринский,,2025,3.0,True,новостройка,совмещенный,dauir,,Астана
1,32.17,,,7399100,,,2024,2.8,True,новостройка,совмещенный,aq shanyraq,,Астана
2,66.86,,,42790400,алматинский,,2023,3.0,True,новостройка,2 с/у и более,monaco residence,,Астана
2,44.0,5.0,2.0,18000000,байконурский,,1970,,False,хозяин недвижимости,совмещенный,,,Астана
3,68.0,5.0,5.0,32000000,сарыаркинский,,1996,,False,хозяин недвижимости,совмещенный,,,Астана
2,45.0,12.0,8.0,26500000,нуринский,,2019,3.0,False,хозяин недвижимости,,respublika,,Астана
1,14.0,5.0,3.0,5600000,алматинский,,1982,2.7,False,крыша агент,,,,Астана
2,57.0,9.0,6.0,28000000,байконурский,,2012,2.8,False,крыша агент,раздельный,,,Астана
1,42.2,12.0,10.0,23000000,сарыаркинский,,2024,3.0,False,крыша агент,совмещенный,sharyn 2,требует ремонта,Астана
4,120.0,10.0,9.0,105000000,есильский,,2023,3.0,False,крыша агент,,greenline.asyl mura,,Астана
1,40.0,8.0,6.0,22500000,есильский,,2023,3.0,False,крыша агент,совмещенный,besterek,,Астана
3,84.7,12.0,5.0,50000000,есильский,,2021,3.0,False,крыша агент,2 с/у и более,sat city,качественный ремонт,Астана
3,86.73,,,33824700,алматинский,,2025,3.0,True,новостройка,2 с/у и более,dauletti qalashyq,,Астана
4,167.75,,,152652500,есильский,,2024,3.0,True,новостройка,2 с/у и более,dara residence,,Астана
1,43.0,12.0,10.0,20990000,есильский,,2024,,False,специалист,,zaman,черновая отделка,Астана
2,53.0,9.0,6.0,26000000,байконурский,,2024,3.0,False,крыша агент,,центральный сквер,черновая отделка,Астана
1,36.03,,,14952450,нуринский,,2025,3.0,True,новостройка,совмещенный,dauir,,Астана
1,32.17,,,7399100,,,2024,2.8,True,новостройка,совмещенный,aq shanyraq,,Астана
2,66.86,,,42790400,алматинский,,2023,3.0,True,новостройка,2 с/у и более,monaco residence,,Астана
2,44.0,5.0,2.0,18000000,байконурский,,1970,,False,хозяин недвижимости,совмещенный,,,Астана
3,68.0,5.0,5.0,32000000,сарыаркинский,,1996,,False,хозяин недвижимости,совмещенный,,,Астана
2,45.0,12.0,8.0,26500000,нуринский,,2019,3.0,False,хозяин недвижимости,,respublika,,Астана
1,14.0,5.0,3.0,5600000,алматинский,,1982,2.7,False,крыша агент,,,,Астана
2,57.0,9.0,6.0,28000000,байконурский,,2012,2.8,False,крыша агент,раздельный,,,Астана
1,42.2,12.0,10.0,23000000,сарыаркинский,,2024,3.0,False,крыша агент,совмещенный,sharyn 2,требует ремонта,Астана
4,120.0,10.0,9.0,105000000,есильский,,2023,3.0,False,крыша агент,,greenline.asyl mura,,Астана
1,54.0,13.0,5.0,20500000,байконурский,,2012,3.0,False,крыша агент,совмещенный,хан тенгри,,Астана
1,35.77,,,14308000,нуринский,,2024,3.0,True,новостройка,совмещенный,green town,,Астана
3,101.67,,,28467600,есильский,,2025,2.85,True,новостройка,2 с/у и более,salt,,Астана
3,102.5,18.0,8.0,48000000,алматинский,,2022,3.0,False,специалист,2 с/у и более,armantau comfort ii,дизайнерский ремонт,Астана
1,42.2,12.0,10.0,23000000,сарыаркинский,,2024,3.0,False,крыша агент,совмещенный,sharyn 2,требует ремонта,Астана
